[Sat Mar 21 12:07:52.090215 2015] [:error] [pid 4250] [client 127.0.0.1:42045] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/project/parquet/view/part/sidebar.tpl on line 8, referer: http://parquet.loc/catalog/flooring/quick_step/imperio
[Sat Mar 21 12:07:52.090271 2015] [:error] [pid 4250] [client 127.0.0.1:42045] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/project/parquet/view/part/sidebar.tpl on line 9, referer: http://parquet.loc/catalog/flooring/quick_step/imperio
[Sat Mar 21 12:08:12.332702 2015] [:error] [pid 4248] [client 127.0.0.1:42055] PHP Notice:  Undefined index: login in /home/yb/project/parquet/auth/index.php on line 16
[Sat Mar 21 12:08:12.332744 2015] [:error] [pid 4248] [client 127.0.0.1:42055] PHP Notice:  Undefined index: password in /home/yb/project/parquet/auth/index.php on line 16
[Sat Mar 21 12:09:00.050984 2015] [:error] [pid 4249] [client 127.0.0.1:42077] PHP Notice:  Undefined variable: catalog in /home/yb/project/parquet/view/part/main-menu.tpl on line 5
[Sat Mar 21 12:09:00.051049 2015] [:error] [pid 4249] [client 127.0.0.1:42077] PHP Notice:  Undefined index: page in /home/yb/project/parquet/view/part/main-menu.tpl on line 6
[Sat Mar 21 12:09:00.051062 2015] [:error] [pid 4249] [client 127.0.0.1:42077] PHP Notice:  Undefined index: page in /home/yb/project/parquet/view/part/main-menu.tpl on line 7
[Sat Mar 21 12:09:00.051073 2015] [:error] [pid 4249] [client 127.0.0.1:42077] PHP Notice:  Undefined index: page in /home/yb/project/parquet/view/part/main-menu.tpl on line 8
[Sat Mar 21 12:09:00.051082 2015] [:error] [pid 4249] [client 127.0.0.1:42077] PHP Notice:  Undefined index: page in /home/yb/project/parquet/view/part/main-menu.tpl on line 9
[Sat Mar 21 12:09:00.052922 2015] [:error] [pid 4249] [client 127.0.0.1:42077] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/project/parquet/view/part/sidebar.tpl on line 8
[Sat Mar 21 12:09:00.052959 2015] [:error] [pid 4249] [client 127.0.0.1:42077] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/project/parquet/view/part/sidebar.tpl on line 9
[Sat Mar 21 12:09:00.340517 2015] [:error] [pid 4249] [client 127.0.0.1:42077] PHP Notice:  Undefined variable: home in /home/yb/project/parquet/view/part/main-menu.tpl on line 4, referer: http://parquet.loc/stylesheets/jquery.bxslider.css
[Sat Mar 21 12:09:00.340552 2015] [:error] [pid 4249] [client 127.0.0.1:42077] PHP Notice:  Undefined variable: catalog in /home/yb/project/parquet/view/part/main-menu.tpl on line 5, referer: http://parquet.loc/stylesheets/jquery.bxslider.css
[Sat Mar 21 12:09:00.340951 2015] [:error] [pid 4249] [client 127.0.0.1:42077] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, integer given in /home/yb/project/parquet/view/part/sidebar.tpl on line 8, referer: http://parquet.loc/stylesheets/jquery.bxslider.css
